orderId,orderType,orderDate,expectedDate,deliveryDate,status,supplierId,customerName,sku,quantity,unitPrice,totalValue,currency,notes
PO-2026-0001,PO,2026-01-05,2026-01-19,2026-01-18,received,SUP-001,Meridian Steel Co.,RM-STEEL-4140,2000,4.85,9700,USD,Q1 steel replenishment
PO-2026-0002,PO,2026-01-08,2026-01-22,2026-01-23,received,SUP-002,Pacific Aluminum Works,RM-ALUM-6061,500,7.40,3700,USD,Standard restock
PO-2026-0003,PO,2026-01-10,2026-02-07,,received,SUP-005,ElastoSeal Technologies,RM-NBRL-90A,100,22.50,2250,USD,Seal material bulk order
PO-2026-0004,PO,2026-01-15,2026-01-29,2026-01-30,received,SUP-001,Meridian Steel Co.,RM-STEEL-1018,3000,3.20,9600,USD,
PO-2026-0005,PO,2026-01-20,2026-02-17,2026-02-18,received,SUP-005,ElastoSeal Technologies,RM-VITON-75A,50,48.00,2400,USD,Critical material - expedited
PO-2026-0006,PO,2026-01-22,2026-02-05,2026-02-06,received,SUP-004,Midwest Foundry Inc.,RM-CAST-IRON,1500,2.90,4350,USD,Foundry stock
PO-2026-0007,PO,2026-02-01,2026-02-15,2026-02-14,received,SUP-003,Great Lakes Brass,RM-BRASS-360,600,9.15,5490,USD,
PO-2026-0008,PO,2026-02-03,2026-03-03,2026-03-04,received,SUP-005,ElastoSeal Technologies,RM-PTFE-ROD,80,18.75,1500,USD,
PO-2026-0009,PO,2026-02-10,2026-02-24,2026-02-25,received,SUP-012,ElectroDrive Solutions,FG-MOTOR-7.5,10,480.00,4800,USD,Motor purchase for power packs
PO-2026-0010,PO,2026-02-14,2026-02-28,2026-02-27,received,SUP-007,AccuPressure Systems,FG-ACCUM-10,20,520.00,10400,USD,
PO-2026-0011,PO,2026-02-18,2026-03-18,2026-03-20,received,SUP-006,ChemSurface Ltd.,RM-CHROME,30,65.00,1950,USD,Chrome plating batch
PO-2026-0012,PO,2026-02-20,2026-03-06,2026-03-07,received,SUP-008,FilterPro Industrial,FG-HF-10,60,95.00,5700,USD,
PO-2026-0013,PO,2026-02-25,2026-03-11,2026-03-10,received,SUP-009,HoseTech International,FG-HOSE-1-1M,100,42.00,4200,USD,Hose assembly batch
PO-2026-0014,PO,2026-03-01,2026-03-15,2026-03-16,received,SUP-010,FastFit Hydraulics,FG-COUPLING-F,200,22.00,4400,USD,
PO-2026-0015,PO,2026-03-01,2026-03-15,2026-03-15,received,SUP-010,FastFit Hydraulics,FG-COUPLING-M,200,18.00,3600,USD,
