inventoryId,sku,locationCode,locationName,quantity,reservedQty,reorderPoint,unitCost,lastCountDate,lastImportDate
INV-0001,RM-STEEL-4140,WH-A,Main Warehouse A,1240,180,500,4.85,2026-03-31,2026-04-01
INV-0002,RM-STEEL-1018,WH-A,Main Warehouse A,2100,320,800,3.20,2026-03-31,2026-04-01
INV-0003,RM-ALUM-6061,WH-A,Main Warehouse A,680,95,300,7.40,2026-03-31,2026-04-01
INV-0004,RM-ALUM-7075,WH-A,Main Warehouse A,310,40,150,12.60,2026-03-31,2026-04-01
INV-0005,RM-BRASS-360,WH-A,Main Warehouse A,420,60,200,9.15,2026-03-31,2026-04-01
INV-0006,RM-CAST-IRON,WH-A,Main Warehouse A,850,120,400,2.90,2026-03-31,2026-04-01
INV-0007,RM-NBRL-90A,WH-B,Raw Material Store B,85,10,50,22.50,2026-03-28,2026-04-01
INV-0008,RM-VITON-75A,WH-B,Raw Material Store B,42,5,30,48.00,2026-03-28,2026-04-01
INV-0009,RM-PTFE-ROD,WH-B,Raw Material Store B,68,8,40,18.75,2026-03-28,2026-04-01
INV-0010,RM-CHROME,WH-B,Raw Material Store B,35,0,20,65.00,2026-03-28,2026-04-01
INV-0011,WIP-PISTON-01,WH-C,WIP Floor Storage,28,28,20,145.00,2026-04-01,2026-04-02
INV-0012,WIP-VALVE-BODY,WH-C,WIP Floor Storage,18,15,15,87.50,2026-04-01,2026-04-02
INV-0013,WIP-SPOOL-STD,WH-C,WIP Floor Storage,34,30,25,62.00,2026-04-01,2026-04-02
INV-0014,WIP-HOUSING-P,WH-C,WIP Floor Storage,12,10,10,210.00,2026-04-01,2026-04-02
INV-0015,WIP-ROD-EXT,WH-C,WIP Floor Storage,22,20,20,95.00,2026-04-01,2026-04-02
INV-0016,FG-HV-2000,WH-D,Finished Goods Store,42,18,5,1250.00,2026-04-02,2026-04-03
INV-0017,FG-HV-3500,WH-D,Finished Goods Store,18,6,3,1890.00,2026-04-02,2026-04-03
INV-0018,FG-HV-5000,WH-D,Finished Goods Store,7,2,2,2750.00,2026-04-02,2026-04-03
INV-0019,FG-VP-100,WH-D,Finished Goods Store,22,8,4,980.00,2026-04-02,2026-04-03
INV-0020,FG-VP-200,WH-D,Finished Goods Store,11,3,3,1540.00,2026-04-02,2026-04-03
INV-0021,FG-GP-50,WH-D,Finished Goods Store,35,12,6,620.00,2026-04-02,2026-04-03
INV-0022,FG-GP-100,WH-D,Finished Goods Store,19,6,4,850.00,2026-04-02,2026-04-03
INV-0023,FG-DCV-3P,WH-D,Finished Goods Store,55,20,8,445.00,2026-04-02,2026-04-03
INV-0024,FG-DCV-2P,WH-D,Finished Goods Store,68,22,10,310.00,2026-04-02,2026-04-03
INV-0025,FG-PRV-100,WH-D,Finished Goods Store,88,25,15,185.00,2026-04-02,2026-04-03
INV-0026,FG-PRV-250,WH-D,Finished Goods Store,54,18,10,265.00,2026-04-02,2026-04-03
INV-0027,FG-FCR-10,WH-D,Finished Goods Store,92,30,20,125.00,2026-04-02,2026-04-03
INV-0028,FG-FCR-30,WH-D,Finished Goods Store,76,22,15,175.00,2026-04-02,2026-04-03
INV-0029,FG-SEAL-KIT-HV2,WH-E,Spare Parts Warehouse,145,40,30,45.00,2026-04-01,2026-04-03
