workOrderId,sku,productName,workCenter,status,plannedQty,actualQty,startDate,dueDate,completedDate,assignedTo,notes
WO-2026-0001,FG-HV-2000,Hydraulic Cylinder HV-2000,MACHINING,completed,20,20,2026-01-05,2026-01-12,2026-01-11,Team Alpha,Q1 opening batch - on time
WO-2026-0002,FG-GP-50,Gear Pump GP-50,ASSEMBLY,completed,15,15,2026-01-06,2026-01-14,2026-01-14,Team Beta,
WO-2026-0003,FG-DCV-3P,Directional Control Valve 3-Position,ASSEMBLY,completed,25,24,2026-01-08,2026-01-16,2026-01-15,Team Beta,1 unit failed QC - scrapped
WO-2026-0004,FG-PRV-100,Pressure Relief Valve 100 bar,MACHINING,completed,30,30,2026-01-10,2026-01-18,2026-01-17,Team Alpha,
WO-2026-0005,FG-HV-3500,Hydraulic Cylinder HV-3500,MACHINING,completed,10,10,2026-01-12,2026-01-22,2026-01-22,Team Gamma,
WO-2026-0006,FG-VP-100,Vane Pump VP-100,ASSEMBLY,completed,12,11,2026-01-15,2026-01-23,2026-01-23,Team Alpha,1 unit rework - customer return inspection
WO-2026-0007,WIP-PISTON-01,Piston Sub-Assembly HV2000,MACHINING,completed,40,40,2026-01-18,2026-01-25,2026-01-24,Team Alpha,Piston blanks for HV-2000 assembly
WO-2026-0008,FG-GP-100,Gear Pump GP-100,ASSEMBLY,completed,10,10,2026-01-20,2026-01-28,2026-01-28,Team Beta,
WO-2026-0009,FG-HV-5000,Hydraulic Cylinder HV-5000,MACHINING,completed,5,5,2026-01-22,2026-02-03,2026-02-02,Team Gamma,High-pressure spec - additional QC time
WO-2026-0010,FG-DCV-2P,Directional Control Valve 2-Position,ASSEMBLY,completed,35,35,2026-01-25,2026-02-02,2026-02-01,Team Beta,
WO-2026-0011,FG-MTPM-100,Hydraulic Power Pack 100L,ASSEMBLY,completed,4,4,2026-01-28,2026-02-11,2026-02-11,Team Gamma,Full system build and test
WO-2026-0012,FG-HV-2000,Hydraulic Cylinder HV-2000,MACHINING,completed,25,25,2026-02-02,2026-02-10,2026-02-09,Team Alpha,
